CMDLINE python try_STARS_prefetched.py
MEM 2060.578125 1695338456.0977
MEM 2060.578125 1695338456.2021
MEM 2060.578125 1695338456.3028
MEM 2060.578125 1695338456.4080
MEM 2060.578125 1695338456.5112
MEM 2060.578125 1695338456.6133
MEM 2060.578125 1695338456.7175
MEM 2060.578125 1695338456.8227
MEM 2060.578125 1695338456.9248
MEM 2060.578125 1695338457.0300
MEM 2060.578125 1695338457.1352
MEM 2060.578125 1695338457.2404
MEM 2060.578125 1695338457.3411
MEM 2060.578125 1695338457.4463
MEM 2060.593750 1695338457.5477
MEM 2060.593750 1695338457.6508
MEM 2060.593750 1695338457.7559
MEM 2060.656250 1695338457.8611
MEM 2066.328125 1695338457.9618
MEM 2066.328125 1695338458.0670
MEM 2066.328125 1695338458.1714
MEM 2066.328125 1695338458.2731
MEM 2066.328125 1695338458.3739
MEM 2066.328125 1695338458.4768
MEM 2066.328125 1695338458.5819
MEM 2066.328125 1695338458.6975
MEM 2066.328125 1695338458.8026
MEM 2066.328125 1695338458.9031
MEM 2066.328125 1695338459.0036
MEM 2066.328125 1695338459.1088
MEM 2066.328125 1695338459.2113
MEM 2066.328125 1695338459.3164
MEM 2066.328125 1695338459.4216
MEM 2066.328125 1695338459.5268
MEM 2066.328125 1695338459.6319
MEM 2066.328125 1695338459.7371
MEM 2066.328125 1695338459.8389
MEM 2066.328125 1695338459.9412
MEM 2066.328125 1695338460.0464
MEM 2066.328125 1695338460.1516
MEM 2066.328125 1695338460.2568
MEM 2066.328125 1695338460.3620
MEM 2066.328125 1695338460.4672
MEM 2066.328125 1695338460.5724
MEM 2066.328125 1695338460.6743
MEM 2066.328125 1695338460.7751
MEM 2066.328125 1695338460.8759
MEM 2066.328125 1695338460.9769
MEM 2066.328125 1695338461.0820
MEM 2066.328125 1695338461.1872
MEM 2066.328125 1695338461.2924
MEM 2066.328125 1695338461.3976
MEM 2066.328125 1695338461.5010
MEM 2066.328125 1695338461.6062
MEM 2066.328125 1695338461.7114
MEM 2066.328125 1695338461.8166
MEM 2066.328125 1695338461.9188
MEM 2066.328125 1695338462.0240
MEM 2066.328125 1695338462.1259
MEM 2066.328125 1695338462.2311
MEM 2066.328125 1695338462.3364
MEM 2066.328125 1695338462.4371
MEM 2066.328125 1695338462.5421
MEM 2066.328125 1695338462.6473
MEM 2066.328125 1695338462.7525
MEM 2066.328125 1695338462.8543
MEM 2066.328125 1695338462.9549
MEM 2066.328125 1695338463.0594
MEM 2066.328125 1695338463.1618
MEM 2066.328125 1695338463.2670
MEM 2066.328125 1695338463.3703
MEM 2066.328125 1695338463.4755
MEM 2066.328125 1695338463.5785
MEM 2066.328125 1695338463.6837
MEM 2066.328125 1695338463.7846
MEM 2066.328125 1695338463.8898
MEM 2066.328125 1695338463.9900
MEM 2066.328125 1695338464.0973
MEM 2066.328125 1695338464.2026
MEM 2066.328125 1695338464.3048
MEM 2066.328125 1695338464.4101
MEM 2066.328125 1695338464.5145
MEM 2066.328125 1695338464.6223
MEM 2066.328125 1695338464.7246
MEM 2066.328125 1695338464.8284
MEM 2066.328125 1695338464.9344
MEM 2066.328125 1695338465.0381
MEM 2066.328125 1695338465.1433
MEM 2066.328125 1695338465.2480
MEM 2066.328125 1695338465.3533
MEM 2066.328125 1695338465.4543
MEM 2066.328125 1695338465.5596
MEM 2066.328125 1695338465.6640
MEM 2066.328125 1695338465.7656
MEM 2066.328125 1695338465.8698
MEM 2066.328125 1695338465.9751
MEM 2066.328125 1695338466.0802
MEM 2066.328125 1695338466.1855
MEM 2066.328125 1695338466.2907
MEM 2066.328125 1695338466.3914
MEM 2066.328125 1695338466.4953
MEM 2066.328125 1695338466.5966
MEM 2066.328125 1695338466.7018
MEM 2066.328125 1695338466.8070
MEM 2066.328125 1695338466.9122
MEM 2066.328125 1695338467.0174
MEM 2066.328125 1695338467.1226
MEM 2066.328125 1695338467.2278
MEM 2066.328125 1695338467.3330
MEM 2066.328125 1695338467.4382
MEM 2066.328125 1695338467.5396
MEM 2066.328125 1695338467.6448
MEM 2066.328125 1695338467.7500
MEM 2066.328125 1695338467.8552
MEM 2066.328125 1695338467.9604
MEM 2066.328125 1695338468.0623
MEM 2066.328125 1695338468.1675
MEM 2066.328125 1695338468.2705
MEM 2066.328125 1695338468.3716
MEM 2066.328125 1695338468.4768
MEM 2066.328125 1695338468.5820
MEM 2066.328125 1695338468.6872
MEM 2066.328125 1695338468.7924
MEM 2066.328125 1695338468.8940
MEM 2066.328125 1695338468.9992
MEM 2066.328125 1695338469.1043
MEM 2066.328125 1695338469.2095
MEM 2066.328125 1695338469.3099
MEM 2066.328125 1695338469.4106
MEM 2066.328125 1695338469.5133
MEM 2066.328125 1695338469.6140
MEM 2066.328125 1695338469.7192
MEM 2066.328125 1695338469.8244
MEM 2066.328125 1695338469.9261
MEM 2066.328125 1695338470.0266
MEM 2066.328125 1695338470.1318
MEM 2066.328125 1695338470.2354
MEM 2066.328125 1695338470.3380
MEM 2066.328125 1695338470.4431
MEM 2066.328125 1695338470.5483
MEM 2066.328125 1695338470.6486
MEM 2066.328125 1695338470.7520
MEM 2066.328125 1695338470.8560
MEM 2066.328125 1695338470.9612
MEM 2066.328125 1695338471.0649
MEM 2066.328125 1695338471.1701
MEM 2066.328125 1695338471.2752
MEM 2066.328125 1695338471.3766
MEM 2066.328125 1695338471.4818
MEM 2066.328125 1695338471.5870
MEM 2066.328125 1695338471.6885
MEM 2066.328125 1695338471.7937
MEM 2066.328125 1695338471.8989
MEM 2066.328125 1695338472.0021
MEM 2066.328125 1695338472.1026
MEM 2066.328125 1695338472.2078
MEM 2066.328125 1695338472.3119
MEM 2066.328125 1695338472.4171
MEM 2066.328125 1695338472.5223
MEM 2066.328125 1695338472.6254
MEM 2066.328125 1695338472.7299
MEM 2066.328125 1695338472.8351
MEM 2066.328125 1695338472.9403
MEM 2066.328125 1695338473.0422
